Artist	Digital Painting and Drawing	How do you manage layers and blending modes when creating complex compositions in Photoshop?
		Discuss a time when you had to adjust the budget mid-project. What was the reason, and how did you manage it?
		How do you evaluate the financial viability of a game project?
	Scheduling Tools	Explain how you create a detailed project timeline that includes milestones, dependencies, and deliverables.
		How do you adjust project schedules in response to delays or scope changes?
		Describe a tool you've used for resource allocation and how it helped you manage team workload.
		Discuss how you use scheduling tools to predict and plan for critical path items.
		How do you communicate schedule updates and impacts to stakeholders?
	Agile and Scrum Methodologies	Describe how you organize a sprint planning session.
		How do you prioritize backlog items for an upcoming sprint?
		Explain the role of daily stand-ups in your project management approach.
		Discuss how you facilitate sprint retrospectives and incorporate feedback into future sprints.
		How do you manage scope creep in an Agile environment?
Game Programmer	Programming Languages	Explain how you would optimize a piece of C++ code for better performance in a game.
		Describe your experience implementing complex game mechanics using C# in Unity.
		How do you ensure your Java or Python code is maintainable and scalable for game development?
		Discuss a challenging bug you encountered in your code and how you resolved it.
		What are the key considerations when choosing a programming language for a new game project?
	Game Engines	Describe the process of creating a custom shader in Unity or Unreal Engine.
		How do you implement and optimize physics interactions in a game engine?
		Explain how you use the scripting API in Unity or Unreal Engine to control game flow.
		Discuss a scenario where you had to extend the capabilities of a game engine through plugins or modifications.
		How do you profile and optimize game performance within a game engine?
	Graphics Programming	Explain the difference between forward and deferred rendering and when you would use each.
		How do you implement a custom lighting model in a shader?
		Describe your approach to optimizing graphic rendering for VR or mobile platforms.
		Discuss how you handle level-of-detail (LOD) management for large game environments.
		Explain how you use compute shaders for non-graphics tasks.
	Artificial Intelligence	Describe how you implemented a pathfinding algorithm in a game. Which algorithm did you use, and why?
		How do you design AI characters that can adapt to player actions?
		Explain your approach to balancing AI difficulty to provide a challenging yet fair experience for players.
		Discuss a scenario where you used machine learning in a game. What was the goal, and how did you achieve it?
		How do you optimize AI performance in a resource-constrained environment?
	Network Programming	Explain how you implement client-server communication in a multiplayer game.
		How do you ensure data synchronization across different player sessions in a multiplayer environment?
		Describe your approach to minimizing latency in real-time multiplayer games.
		Discuss how you handle security concerns in game networking.
		Explain the challenges of peer-to-peer networking and how you address them.
	Physics Engines	Describe how you integrate a physics engine into a game project. What are the key considerations?
		How do you use physics simulations to enhance realism in game interactions?
		Explain how you optimize collision detection for performance.
		Discuss a complex physics problem you solved in a game project.
		How do you ensure that physics simulations behave consistently across different hardware?
All paths (soft skills)	Critical & Creative Thinking	Can you describe a situation in your game development experience where you had to think critically to overcome a challenge? What approach did you take, and what was the outcome?
		Provide an example of a creative solution you came up with in a game design scenario. How did your creativity contribute to the overall player experience, and what feedback did you receive from players or colleagues?
		Describe a time when you applied critical thinking to optimize game art assets for performance without compromising visual quality. What techniques or strategies did you use, and what impact did it have on the game's performance?
		In your game programming experience, can you share a situation where you had to think creatively to implement a unique gameplay mechanic or feature? How did your creative approach enhance the gameplay, and what challenges did you face during implementation?
		Explain how critical thinking played a role in your narrative design process. Provide an example of a narrative choice you made to engage players or create a plot twist. How did this decision impact the overall narrative and player engagement?
	Independent Learning	Share an instance where you took the initiative to learn a new skill or technology related to game development outside of formal education or training. What motivated you, and what resources or methods did you use to acquire this knowledge?
		Can you describe a specific game engine or tool you mastered through self-study? How did your independent learning contribute to your proficiency in using that tool, and how did it benefit your projects?
		Provide an example of how independent learning expanded your artistic skills as a game artist. What new techniques or styles did you explore on your own, and how did they influence your artistic work?
		In your game programming experience, share a project or coding challenge that required you to learn a new programming language or framework independently. How did you approach this learning process, and what impact did it have on the project's success?
		Explain how independent learning has enriched your narrative design capabilities. Can you share a case where you delved into a new genre or narrative style on your own? How did this exploration influence your storytelling approach?
	Industry Trends	Discuss the importance of staying updated on industry trends in game development. How do you typically stay informed about the latest trends, technologies, and player preferences in the industry?
		Can you provide an example of a game development project where your awareness of current industry trends played a significant role in decision-making? How did this knowledge impact the project's direction and success?
		Share a situation where your knowledge of industry trends influenced your art style or artistic choices as a game artist. How did staying current with trends contribute to the visual identity of the game?
		In game programming, describe how your awareness of industry trends helped you make informed decisions about technology and development tools for a project. How did it affect the project's technical aspects and performance?
		Explain how being attuned to industry trends has shaped your narrative design approach. Can you provide an example of a narrative choice influenced by current player preferences or storytelling trends in the gaming industry?
	Networking 	Describe a successful networking experience in the game development industry. How did you initiate and nurture a valuable professional connection, and what benefits did it bring to your career or projects?
		Can you share an example of a collaboration with fellow game artists or developers facilitated by your networking skills? How did your ability to build relationships contribute to the success of the collaboration?
		Explain how your networking skills have played a role in solving a complex coding challenge or project issue as a game programmer. How did your network of industry contacts or colleagues assist in resolving the problem?
		Discuss a situation where your networking skills helped you gain valuable insights into industry trends or emerging technologies. How did these insights influence your work or decision-making in game development?
		Share an experience where your networking efforts had a positive impact on the narrative design of a game. How did your ability to connect with writers or industry professionals enhance the storytelling process or narrative quality?
	Personal Responsibility	Describe your approach to personal responsibility in game development. How do you ensure accountability for your work, meet deadlines, and deliver quality results on your projects?
		Can you provide an example of a game development project where your sense of personal responsibility played a crucial role in its success? How did your commitment to your tasks and deadlines benefit the team?
		Explain how personal responsibility is reflected in your art creation process as a game artist. How do you manage your tasks and ensure timely delivery of art assets while maintaining high quality?
		In game programming, discuss a situation where your personal responsibility led to the resolution of a critical issue or bug in a project. How did your sense of accountability impact the overall outcome?
		Share an experience where your personal responsibility influenced the narrative design of a game. How did your commitment to delivering well-crafted narratives on time contribute to the game's success?
	Teamwork	Describe your approach to effective teamwork in game development. How do you foster collaboration, communicate with team members, and contribute to the success of a project?
		Can you provide an example of a project where your teamwork skills contributed significantly to its success? How did your ability to collaborate and support your team members make a difference?
		Explain how your teamwork skills have positively impacted the artistic process as a game artist. How do you collaborate with other artists and ensure a cohesive visual style in the game?
		In game programming, discuss a project where your teamwork abilities played a key role in solving a complex coding challenge. How did your collaborative efforts with colleagues lead to a successful outcome?
		Share an experience where your teamwork skills influenced the narrative design of a game. How did your ability to work closely with other writers and team members result in a cohesive and engaging narrative?
	Communication Skills	Describe a challenging communication situation you encountered in a game development project. How did you handle it, and what strategies did you use to ensure effective communication among team members or stakeholders?
		Can you provide an example of a successful communication experience that positively impacted a game project? How did your clear and effective communication contribute to the project's success?
		Explain how your communication skills have influenced the art creation process as a game artist. How do you ensure that your artistic ideas and feedback are effectively communicated to the team?
		In game programming, discuss a situation where your communication skills were crucial in resolving a coding-related issue. How did your ability to communicate with team members lead to a successful resolution?
		Share an experience where your communication skills played a significant role in the narrative design of a game. How did your communication with fellow writers and team members contribute to a cohesive and engaging narrative?
	Time Management	Describe your time management strategies in game development. How do you prioritize tasks, set goals, and ensure that project milestones and deadlines are met?
		Can you provide an example of a project where your effective time management resulted in the successful delivery of art assets as a game artist? How did you plan and manage your time to meet project requirements?
		Explain your approach to time management in game programming. How do you balance coding tasks, project timelines, and team collaboration to ensure efficient project progress?
		In game development, discuss a project where your time management skills played a vital role in meeting project milestones. How did your time management contribute to the project's overall success?
		Share an experience where your time management capabilities influenced the narrative design of a game. How did your ability to manage time effectively impact the development of the narrative and the project's timeline?
	Project Management	Describe your approach to project management in game development. How do you oversee project planning, resource allocation, and project execution to ensure successful outcomes?
		Can you provide an example of a game development project where your project management skills were instrumental in delivering a successful game? How did you handle project coordination and resource management?
		Explain how your project management skills have contributed to the artistic process as a game artist. How do you coordinate with other artists and ensure that art assets are delivered according to project plans?
		In game programming, discuss a project where your project management abilities played a crucial role in guiding the development team to meet project objectives. How did you manage tasks, timelines, and resources effectively?
		Share an experience where your project management skills influenced the narrative design of a game. How did your ability to plan and organize narrative development contribute to the overall quality of the game's storytelling?
	Conflict Resolution	Describe a conflict or disagreement you encountered within a game development team. How did you approach the conflict resolution process, and what steps did you take to resolve it?
		Can you provide an example of a situation where your conflict resolution skills positively impacted a game project? How did your ability to address conflicts lead to a more harmonious work environment and project success?
		Explain how your conflict resolution skills have played a role in the artistic process as a game artist. How do you handle creative disagreements or conflicts with other artists to maintain a collaborative atmosphere?
		In game programming, discuss a project where your conflict resolution abilities helped resolve coding-related disputes. How did your approach to conflict resolution lead to a more productive coding environment?
		Share an experience where your conflict resolution skills influenced the narrative design of a game. How did your ability to address narrative conflicts or disagreements with team members contribute to a cohesive and engaging narrative?
